"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"TT.PRI.MRCH.XD.WD","Net barter terms of trade index (2015 = 100)","Net barter terms of trade index is calculated as the percentage ratio of the export unit value indexes to the import unit value indexes, measured relative to the base year 2015.","UN Conference on Trade and Development (UNCTAD)",
"TM.VAL.OTHR.ZS.WT","Computer, communications and other services (% of commercial service imports)","Computer, communications and other services include such activities as international telecommunications, and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; and personal, cultural, and recreational services. This indicator is expressed as a percentage of service imports which are commercial services provided by non-residents to residents.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",
"TM.VAL.MRCH.RS.ZS","Merchandise imports by the reporting economy, residual (% of total merchandise imports)","Merchandise imports by the reporting economy residuals are the total merchandise imports by the reporting economy from the rest of the world as reported in the IMF's Direction of trade database, less the sum of imports by the reporting economy from high-, low-, and middle-income economies according to the World Bank classification of economies. Includes trade with unspecified partners or with economies not covered by World Bank classification. Data are as a percentage of total merchandise imports by the economy.","Staff estimates, World Bank (WB);
Direction of Trade database, International Monetary Fund (IMF)",
"TM.VAL.MRCH.R3.ZS","Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","Merchandise imports from low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","Staff estimates, World Bank (WB);
Direction of Trade database, International Monetary Fund (IMF)",
"TM.VAL.MRCH.HI.ZS","Merchandise imports from high-income economies (% of total merchandise imports)","Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","Staff estimates, World Bank (WB);
Direction of Trade database, International Monetary Fund (IMF)",
"TM.VAL.MANF.ZS.UN","Manufactures imports (% of merchandise imports)","Manufactures comprise commodities in SITC (Rev. 3) sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (non-ferrous metals). This indicator is expressed as a percentage of merchandise imports which is comprised of goods whose economic ownership is changed between a non-resident and a resident and that are not included in the following specific categories: goods under merchanting, non-monetary gold, and parts of travel, construction, and government goods and services n.i.e.","Comtrade database, United Nations (UN), publisher: UN Statistics Division;
World Integrated Trade Solution system (WITS);
Staff estimates, World Bank (WB)",
"TM.VAL.FOOD.ZS.UN","Food imports (% of merchandise imports)","Food comprises the commodities in SITC (Rev. 3) sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and division 22 (oil seeds, oil nuts, and oil kernels). This indicator is expressed as a percentage of merchandise imports which is comprised of goods whose economic ownership is changed between a non-resident and a resident and that are not included in the following specific categories: goods under merchanting, non-monetary gold, and parts of travel, construction, and government goods and services n.i.e.","Comtrade database, United Nations (UN), publisher: UN Statistics Division;
World Integrated Trade Solution system (WITS);
Staff estimates, World Bank (WB)",
"TM.TAX.TCOM.WM.AR.ZS","Tariff rate, applied, weighted mean, primary products (%)","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).","Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)",
"TM.TAX.TCOM.BC.ZS","Binding coverage, primary products (%)","Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).","Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)",
"TM.TAX.MRCH.SM.AR.ZS","Tariff rate, applied, simple mean, all products (%)","Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs.","Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)",
"TM.TAX.MANF.WM.AR.ZS","Tariff rate, applied, weighted mean, manufactured products (%)","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.","Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)",
"TM.TAX.MANF.BC.ZS","Binding coverage, manufactured products (%)","Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.","Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)",
"ST.INT.XPND.CD","International tourism, expenditures (current US$)","International tourism expenditures are expenditures of international outbound visitors in other countries, including payments to foreign carriers for international transport. These expenditures may include those by residents traveling abroad as same-day visitors, except in cases where these are important enough to justify separate classification. For some countries they do not include expenditures for passenger transport items. Data are in current U.S. dollars.","Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, UN Tourism",
"ST.INT.TRNR.CD","International tourism, receipts for passenger transport items (current US$)","International tourism receipts for passenger transport items are expenditures by international inbound visitors for all services provided in the international transportation by resident carriers. Also included are passenger services performed within an economy by nonresident carriers. Excluded are passenger services provided to nonresidents by resident carriers within the resident economies; these are included in travel items. In addition to the services covered by passenger fares--including fares that are a part of package tours but excluding cruise fares, which are included in travel--passenger services include such items as charges for excess baggage, vehicles, or other personal accompanying effects and expenditures for food, drink, or other items for which passengers make expenditures while on board carriers. Data are in current U.S. dollars.","Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, UN Tourism",
"ST.INT.ARVL","International tourism, number of arrivals","International inbound tourists (overnight visitors) are the number of tourists who travel to a country other than that in which they have their usual residence, but outside their usual environment, for a period not exceeding 12 months and whose main purpose in visiting is other than an activity remunerated from within the country visited. When data on number of tourists are not available, the number of visitors, which includes tourists, same-day visitors, cruise passengers, and crew members, is shown instead. Sources and collection methods for arrivals differ across countries. In some cases data are from border statistics (police, immigration, and the like) and supplemented by border surveys. In other cases data are from tourism accommodation establishments. For some countries number of arrivals is limited to arrivals by air and for others to arrivals staying in hotels. Some countries include arrivals of nationals residing abroad while others do not. Caution should thus be used in comparing arrivals across countries. The data on inbound tourists refer to the number of arrivals, not to the number of people traveling. Thus a person who makes several trips to a country during a given period is counted each time as a new arrival.","Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, UN Tourism",
"SP.URB.GROW","Urban population growth (annual %)","Annual urban population growth rate for year t is the exponential rate of growth of midyear urban population from year t-1 to t, expressed as a percentage. Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank total population estimates and urban ratios from the United Nations World Urbanization Prospects.","World Urbanization Prospects, United Nations (UN), uri: https://population.un.org/wup/, publisher: UN Population Division;
Staff estimates, World Bank (WB), note: World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects",
"SP.REG.DTHS.ZS","Completeness of death registration with cause-of-death information (%)","Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.","Global Health Observatory Data Repository/World Health Statistics, World Health Organization (WHO), uri: http://apps.who.int/gho/data/node.main.1?lang=en",
"SP.REG.BRTH.MA.ZS","Completeness of birth registration, male (%)","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","Household surveys, UN Children's Fund (UNICEF), note: Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by UNICEF.",
"SP.POP.TOTL.FE.ZS","Population, female (% of total population)","Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB), note: World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2022 Revision",
"SP.POP.SCIE.RD.P6","Researchers in R&D (per million people)","The number of researchers engaged in Research &Development (R&D), expressed as per million. Researchers are professionals who conduct research and improve or develop concepts, theories, models techniques instrumentation, software of operational methods. R&D covers basic research, applied research, and experimental development.","Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://uis.unesco.org/bdds, publisher: UNESCO Institute for Statistics (UIS), data accessed: 2023-04-23, date published: 2024-02",
"SP.POP.DPND","Age dependency ratio (% of working-age population)","Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",
"SP.POP.7579.MA.5Y","Population ages 75-79, male (% of male population)","Male population between the ages 75 to 79 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total population)","Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.65UP.FE.ZS","Population ages 65 and above, female (% of female population)","Female population 65 years of age or older as a percentage of the total female population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.6064.MA.5Y","Population ages 60-64, male (% of male population)","Male population between the ages 60 to 64 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.5054.MA.5Y","Population ages 50-54, male (% of male population)","Male population between the ages 50 to 54 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.4044.MA.5Y","Population ages 40-44, male (% of male population)","Male population between the ages 40 to 44 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.3034.MA.5Y","Population ages 30-34, male (% of male population)","Male population between the ages 30 to 34 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.2024.MA.5Y","Population ages 20-24, male (% of male population)","Male population between the ages 20 to 24 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.1564.MA.ZS","Population ages 15-64, male (% of male population)","Male population between the ages 15 to 64 as a percentage of the total male population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.1519.MA.5Y","Population ages 15-19, male (% of male population)","Male population between the ages 15 to 19 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.0509.MA.5Y","Population ages 05-09, male (% of male population)","Male population between the ages 5 to 9 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.0014.MA.ZS","Population ages 0-14, male (% of male population)","Male population between the ages 0 to 14 as a percentage of the total male population. Population is based on the de facto definition of population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.POP.0004.MA.5Y","Population ages 00-04, male (% of male population)","Male population between the ages 0 to 4 as a percentage of the total male population.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.M15.2024.FE.ZS","Women who were first married by age 15 (% of women ages 20-24)","Women who were first married by age 15 refers to the percentage of women ages 20-24 who were first married by age 15.","UNICEF Data, UN Children's Fund (UNICEF), uri: https://sdmx.data.unicef.org/overview.html, note: Indicator code from the original source: PT_F_20-24_MRD_U15; 	Indicator name from the original source: Percentage of women (aged 20-24 years) married or in union before age 15, type: API;
DHS API, DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: MA_MBAG_W_B15; 	Indicator name from the original source: Women first married by exact age 15, type: API",
"SP.DYN.TO65.FE.ZS","Survival to age 65, female (% of cohort)","Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65, if subject to age specific mortality rates of the specified year.","World Population Prospects, United Nations (UN), publisher: UN Population Division",
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)",
"SH.XPD.EHEX.PC.CD","External health expenditure per capita (current US$)","Current external expenditures on health per capita expressed in current US dollars. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country.","Global Health Expenditure database, World Health Organization (WHO), uri: http://apps.who.int/nha/database",
"SH.XPD.CHEX.GD.ZS","Current health expenditure (% of GDP)","Level of current health expenditure expressed as a percentage of GDP.  Estimates of current health expenditures include healthcare goods and services consumed during each year. This indicator does not include capital health expenditures such as buildings, machinery, IT and stocks of vaccines for emergency or outbreaks.","Global Health Expenditure database, World Health Organization (WHO), uri: https://apps.who.int/nha/database, publisher: World Health Organization",
"SH.UHC.TOT1.ZS","Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","This indicator shows the fraction of a country's population who is either (1) living in households whose non-health expenditures are already below the $2.15 poverty line and who as a result are pushed further into poverty by their out-of-pocket health spending or (2) live in households whose total expenditures are above the $2.15 poverty line but fall below the $2.15 poverty line when out-of-pocket health spending is subtracted from total expenditure. Out-of-pocket health expenditure is defined as any spending incurred by a household when any member uses a health good or service to receive any type of care (preventive, curative, rehabilitative, long-term or palliative care); provided by any type of provider; for any type of disease, illness or health condition; in any type of setting (outpatient, inpatient, at home).","Global Health Observatory, World Health Organization (WHO), uri: https://www.who.int/data/gho/data/themes/topics/financial-protection",
"SH.UHC.NOPR.ZS","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","This indicator shows the fraction of a country’s population experiencing out-of-pocket health impoverishing expenditures, defined as expenditures without which the household they live in would have been above the 60% median consumption but because of the expenditures is below the poverty line. Out-of-pocket health expenditure is defined as any spending incurred by a household when any member uses a health good or service to receive any type of care (preventive, curative, rehabilitative, long-term or palliative care); provided by any type of provider; for any type of disease, illness or health condition; in any type of setting (outpatient, inpatient, at home).","Global Health Observatory, World Health Organization (WHO), uri: https://www.who.int/data/gho/data/themes/topics/financial-protection",
"SH.UHC.FBP2.ZS","Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","This indicator shows the fraction of a country’s population living in households whose non-health expenditures are already below the $3.65 poverty line and who as a result are pushed further into poverty by their out-of-pocket health spending. Out-of-pocket health expenditure is defined as any spending incurred by a household when any member uses a health good or service to receive any type of care (preventive, curative, rehabilitative, long-term or palliative care); provided by any type of provider; for any type of disease, illness or health condition; in any type of setting (outpatient, inpatient, at home).","Global Health Observatory, World Health Organization (WHO), uri: https://www.who.int/data/gho/data/themes/topics/financial-protection",
"SH.TBS.CURE.ZS","Tuberculosis treatment success rate (% of new cases)","Tuberculosis treatment success rate is the percentage of all new tuberculosis cases (or new and relapse cases for some countries) registered under a national tuberculosis control programme in a given year that successfully completed treatment, with or without bacteriological evidence of success (""cured"" and ""treatment completed"" respectively).","Global Tuberculosis Report, World Health Organization (WHO)",
"SH.STA.WAST.ZS","Prevalence of wasting, weight for height (% of children under 5)","Prevalence of wasting is the proportion of children under age 5 whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59 months.","UNICEF, WHO, World Bank: Joint child Malnutrition Estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology., UN Children's Fund (UNICEF), note: Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Health Organization (WHO), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Bank (WB), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology",
"SH.STA.TRAF.P5","Mortality caused by road traffic injury (per 100,000 population)","Mortality caused by road traffic injury is estimated road traffic fatal injury deaths per 100,000 population.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)., World Health Organization (WHO), uri: https://www.who.int/data/gho",
"SH.STA.STNT.ZS","Prevalence of stunting, height for age (% of children under 5)","Prevalence of stunting is the percentage of children under age 5 whose height for age is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's 2006 Child Growth Standards.","UNICEF, WHO, World Bank: Joint child Malnutrition Estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology., UN Children's Fund (UNICEF), note: Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Health Organization (WHO), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Bank (WB), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology",
"SH.STA.STNT.MA.ZS","Prevalence of stunting, height for age, male (% of children under 5)","Prevalence of stunting, male, is the percentage of boys under age 5 whose height for age is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's 2006 Child Growth Standards.","UNICEF, WHO, World Bank: Joint child Malnutrition Estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology., UN Children's Fund (UNICEF), note: Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Health Organization (WHO), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Bank (WB), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology",
"SH.STA.SMSS.RU.ZS","People using safely managed sanitation services, rural (% of rural population)","The percentage of people using improved sanitation facilities that are not shared with other households and where excreta are safely disposed of in situ or transported and treated offsite. Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines: ventilated improved pit latrines, compositing toilets or pit latrines with slabs.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene, World Health Organization (WHO), uri: washdata.org, note: Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene., publisher: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org), data accessed: 2023-07-25, date published: 2023-07-06;
UN Children's Fund (UNICEF), uri: washdata.org, note: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene",
"SH.STA.OWGH.ZS","Prevalence of overweight, weight for height (% of children under 5)","Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's 2006 Child Growth Standards.","UNICEF, WHO, World Bank: Joint child Malnutrition Estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology., UN Children's Fund (UNICEF), note: Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Health Organization (WHO), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology;
World Bank (WB), note: Joint child Malnutrition Estimates (JME); Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology",
